from,total_eth,total_transactions
\xeb815fff2d66cb749b6c2de1a85deb77d4ffde38,0.7,1
\xab0316302a10d711683ca4bc0258758a497c3d25,10.0,1
\x74bab71604f6c856d60a599dfe6bc911a4f811a5,1.01,1
\xb6dd986521d404f79600e2ae562aa1810134e2e0,0.1382786,1
\x474500a07bbc0e0071e50085019e990bea00f4a7,0.5,1
\x7ee66bc5dc0b44d38bcb6ed22e179355680fe57d,0.3,1
\x5790096c22396a5d30ddd17bf497fd9ecaa720c3,0.03,1
\xf24862bece5aca33352e736d92d8af34a7b8453a,0.001,1
\x9546d2673fe5356f76868e79a99cf9d5c01adec1,0.5,1
\xb89dd647788c54a03ba290a6320ba53566afb57d,0.6,1
\x79f49296e82c44535d78f5c689b9dd63577f75bc,5.0,1
\xb883b3e0b80ab0fe4f83aca4e11b5fb2e30f740b,0.002,1
\x2807730c7d02202de74145544882edbb042169c3,0.7,1
\x6c36fedaad6d2ecd107bf27ec462dd3faade96f8,0.989139,1
\x7eae61d0d71f504494c1cd9925aeb3c4210bc113,0.5,1
\x1f3845662075e13cb6062867fb2ee0b178f79ecd,0.01,1
\xc86f08dec31dbdba2f5301af3a1eab44ba193bb5,0.59997861,1
\x84af40b4cf22b3f949e07a1bccec886508d6e8b0,0.02271579,1
\x8bd2c84e443305e62550f0d7c1009e474437b885,0.6,1
\x98687ddab1ca1406e7fb46b879f811a76fe68a1f,0.01,1
\xab16354df15534624318f5a8957b7cf12c21490c,0.000241660302945355,1
\xffd3f45656deaf0f61064afed0b315452c4d1544,0.5,1
\xf2e2912dd895916c6615143fb71589f7a2d8bb29,0.002,1
\x7eb0cbd1888092345b2a2110fc1bb48a36f9fa17,5.0,1
\xd97bd8949482468fb008e6d29ed29150d2734761,0.5,1
\xe93311976aa4bf14b9452bc357f227897d2bff40,1.0,1
\xab8eafb80a43a961f8fa4c8ca5aeec089d373fc2,0.57235348,1
\x4ed83e973c3e50cfbe483398ab17e347ebd244ce,1e-05,1
\x4ba6936a8991a1b537e0033e87d5040c1392ac06,0.5,1
\x9e4d8b6ec307db01dc82065137717674ee41d4c5,0.549874,1
\xf924ed626f8366b98be764c74fc28349534ac2bb,0.5,1
\x390de26d772d2e2005c6d1d24afc902bae37a4bb,2.29,1
\x4f1872383be22878af5d4795b69be61b35ec5d10,0.099034,1
\x489468cd3740a24e196f01b9a57c538fd6b1243d,1.0,1
\x50f2201490dd9862de00edb02bb0026ce128f7a8,0.5,1
\xe038438a86de40b6cbb1a1c2af6746c94432c09f,0.5,1
\x032b57bad376bf17d5ed26191e93b76153922d22,0.5,1
\x5fd4437e01fca2246d2135839bc23482575c77b5,1.0,1
\x0c1abb934b1baa19aa82ce68765b5c734dfa3fc2,0.1,1
\x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0.00990321,1
\x7cee341f5ebc7545771eeb1b792651396b9e6c27,0.5,1
\x549f42bf8d77694e2048727ff9e4c6866661110b,0.7,1
\xb520cf3218aec546f52ae2a9aa5403b21ef0ba72,0.59991604,1
\x2b7d9bcd66213327094c8c11d3d5c58546304576,0.0015209,1
\x53b919cd827c992ea29e74bd1d268d1e815803e9,0.6,1
\x1cea0f24c3da5b739c281ec467280b653178bcb0,0.002,1
\x5349587b618ea8edab99c4422c020a0488288b0e,0.54351889,1
\x6de55ef9a8a5ec6e2077d6e8176ca4c228222932,0.002969,1
\x3e7a112ecb6fe90c7d4d959589d0cdb369a0d70c,0.5,1
\xe5745d74bc1bd5789ad47890f6726fbf311a0e0c,0.00158243,1
\x7ccdd82715048372a3d8191e5fafcebedda5395d,0.99,1
\x1847b35a3444edbede05b52a378d45e13eea54c4,0.003517,1
\x751ca9754c39ab5ab4bd099d3a60b049de45c16e,0.9980591,1
\x243c952cc2f2ed6c335a335660bfd69e16ecdd78,0.4,1
\x59a5208b32e627891c389ebafc644145224006e8,0.35894133,1
\xb53c8e1a36f8fa6aaa64abc9e1b38111a6d9afbc,1.0,1
\xa884d89ba0d59b33d04181b7a8e6f7e820e57cbc,0.017309,1
\xd380daceb37ef24642b798205a5b553a9f37cd85,0.5,1
\xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,13.3,1
\xe44c1e644766293fcc3c9f12deb2bbe9dccbc58c,0.5,1
\x536e0d441159955682a9ba4655a30154fe5cd708,10.0,1
\x6a5cbfe7702c51c07958c82fdcb07ef02f827ba5,0.5,1
\x57debd99c50a56b8f1c0b3a11e2a3a3734efc812,5.0,1
\xeb0f84ec3c60d63afc8e147a30c9d91d44c0c602,0.035426122,1
