block_time,from,to,total_eth
2022-04-04T13:47:49+00:00,\xba7bf3ccf59d36fd6216be3a7bb53c70be9c5d42,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-12T12:02:15+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-23T14:11:30+00:00,\xe708f17240732bbfa1baa8513f66b665fbc7ce10,\x098b716b8aaf21512996dc57eb0615e2383e2f96,3364.5375835279715
2022-03-31T08:31:39+00:00,\xe6ec0de23b6db6604113cb79db609d5da461c961,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-04-09T12:50:06+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-05-07T20:39:09+00:00,\x346e95e6b7d5b266b9fff6d2e7dadef84933bfe5,\x3cffd56b47b7b41c56258d9c7731abadc360e073,3.69e-05
2022-04-28T20:59:30+00:00,\x40225b91d29e27134bd81ab188fe318314ef0568,\x3cffd56b47b7b41c56258d9c7731abadc360e073,3.69e-05
2022-05-10T13:24:16+00:00,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,\x8c5f8af7a932613efe12cc25d38387e9654517a7,3003.3
2022-04-19T08:24:48+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T19:34:04+00:00,\x6179921bca35995402672ffb21e9898ff3ee74ae,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-04-05T13:21:30+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T17:01:43+00:00,\xecf8a6b5acdf1c3282d8db62c48bd794d01708d9,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T21:40:32+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-18T20:12:22+00:00,\x6624b6f9d8b79d7e5ecdc9178e65c1f9156b64e7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-31T10:53:53+00:00,\x5b1688c070886c79b023a358a52d49c433dc3ca3,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-03-29T16:51:13+00:00,\xaeacc53f6e7e46b317e18354bd16b3b0fa52ea27,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-03-31T09:22:43+00:00,\x021e5102764766531d3764166c14ba81d2dd3798,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-29T16:23:20+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-24T12:50:41+00:00,\x3cffd56b47b7b41c56258d9c7731abadc360e073,\xb3656c5ed7ef97b4c9097d416df98e2e2a5dd81d,3881.297
2022-03-29T17:34:37+00:00,\x5f544f236712ac9926abcd3acc2ebb58b1b7c4b0,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-03-31T08:51:06+00:00,\xe6ec0de23b6db6604113cb79db609d5da461c961,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.004
2022-03-29T16:48:17+00:00,\xab3eeae9e5d2fcea35722f6d17f4a1f4dbbe11d7,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-03-31T10:03:13+00:00,\x65cd68d1f8438f815911e476320d87cbafce0b50,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0002
2022-03-30T02:59:30+00:00,\x425716f08634505afad6eb4eadcfc44d8e027f68,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-29T16:20:55+00:00,\xd418e97d62b546bf33e60a24dfe2b9c9b093837c,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-03-28T02:36:18+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\x9fae13de16d34873246e48b514fc88581751533f,500.0
2022-04-12T11:59:52+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:23:20+00:00,\x4e7a17c87d63ac3a78b718530a3f345c2feaeba2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
2022-04-05T13:21:45+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:18:11+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-23T14:11:30+00:00,\x665660f65e94454a64b96693a67a41d440155617,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1180.1426056027744
2022-03-29T16:35:38+00:00,\x4aa141ae689da66e7cbe421d6bb93e8d23d660de,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001
2022-03-31T11:04:49+00:00,\xe6ec0de23b6db6604113cb79db609d5da461c961,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0001
